"Gene","Frequencia_afetacoes","Percentual"
"LOC129936346",4,0.04
"LOC129936347",4,0.04
"LOC129936348",4,0.04
"LOC129936349",4,0.04
"LOC129936350",4,0.04
"LOC129936351",4,0.04
"LOC129936352",4,0.04
"LOC129936353",4,0.04
"LOC129936354",4,0.04
"LOC129936355",4,0.04
"LOC129936356",4,0.04
"LOC129936357",4,0.04
"LOC129936358",4,0.04
"LOC129936359",4,0.04
"LOC129936360",4,0.04
"LOC129936361",4,0.04
"LOC129936362",4,0.04
"LOC129936363",4,0.04
"LOC129936364",4,0.04
"LOC129936365",4,0.04
"LOC129936366",4,0.04
"LOC129936367",4,0.04
"LOC129936368",4,0.04
"LOC129936369",4,0.04
"LOC129936370",4,0.04
"LOC129936371",4,0.04
"LOC129936372",4,0.04
"LOC129936373",4,0.04
"LOC129936374",4,0.04
"LOC129936375",4,0.04
"LOC129936376",4,0.04
"LOC129936377",4,0.04
"LOC129936378",4,0.04
"LOC129936379",4,0.04
"LOC129936380",4,0.04
"LOC129936381",4,0.04
"LOC129936382",4,0.04
"LOC129936383",4,0.04
"LOC129936384",4,0.04
"LOC129936385",4,0.04
"LOC129936386",4,0.04
"LOC129936387",4,0.04
"LOC129936388",4,0.04
"LOC129936389",4,0.04
"LOC129936390",4,0.04
"LOC129936391",4,0.04
"LOC129936392",4,0.04
"LOC129936393",4,0.04
"LOC129936394",4,0.04
"LOC129936395",4,0.04
"LOC129936396",4,0.04
"LOC129936397",4,0.04
"LOC129936398",4,0.04
"LOC129936399",4,0.04
"LOC129936400",4,0.04
"LOC129936401",4,0.04
"LOC129936402",4,0.04
"LOC129936403",4,0.04
"LOC129936404",4,0.04
"LOC129936405",4,0.04
"LOC129936406",4,0.04
"LOC129936407",4,0.04
"LOC129936408",4,0.04
"LOC129936409",4,0.04
"LOC129936410",4,0.04
"LOC129936411",4,0.04
"LOC129936412",4,0.04
"LOC129936413",4,0.04
"LOC129936414",4,0.04
"LOC129936415",4,0.04
"LOC129936416",4,0.04
"LOC129936417",4,0.04
"LOC129936418",4,0.04
"LOC129936419",4,0.04
"LOC129936420",4,0.04
"LOC129936421",4,0.04
"LOC129936422",4,0.04
"LOC129936423",4,0.04
"LOC129936424",4,0.04
"LOC129936425",4,0.04
"LOC129936426",4,0.04
"LOC129936427",4,0.04
"LOC129936428",4,0.04
"LOC129936429",4,0.04
"LOC129936430",4,0.04
"LOC129936431",4,0.04
"LOC129936432",4,0.04
"LOC129936433",4,0.04
"LOC129936434",4,0.04
"LOC129936435",4,0.04
"LOC129936436",4,0.04
"LOC129936437",4,0.04
"LOC129936438",4,0.04
"LOC129936439",4,0.04
"LOC129936440",4,0.04
"LOC129936441",4,0.04
"LOC129936442",4,0.04
"LOC129936443",4,0.04
"LOC129936444",4,0.04
"LOC129936445",4,0.04
"LOC129936446",4,0.04
"LOC129936447",4,0.04
"LOC129936472",4,0.04
"LOC129936473",4,0.04
"LOC129936474",4,0.04
"LOC129936475",4,0.04
"LOC129936476",4,0.04
"LOC129936477",4,0.04
"LOC129936478",4,0.04
"LOC129936479",4,0.04
"LOC129936480",4,0.04
"LOC129936481",4,0.04
"LOC129936482",4,0.04
"LOC129936483",4,0.04
"LOC129936484",4,0.04
"LOC129936485",4,0.04
"LOC129936486",4,0.04
"LOC129936487",4,0.04
"LOC129936488",4,0.04
"LOC129936489",4,0.04
"LOC129936490",4,0.04
"LOC132088867",4,0.04
"LOC132088868",4,0.04
"LOC132088871",4,0.04
"LOC132088872",4,0.04
"LOC132088880",4,0.04
"LOC132088882",4,0.04
"LOC132088918",4,0.04
"LOC132088919",4,0.04
"LOC132088920",4,0.04
"LOC132088921",4,0.04
"LOC132088922",4,0.04
"LOC132088923",4,0.04
"LOC132088924",4,0.04
"LOC132088925",4,0.04
"LOC132088926",4,0.04
"LOC132088927",4,0.04
"LOC132088928",4,0.04
"LOC132088929",4,0.04
"LOC132088930",4,0.04
"LOC132088931",4,0.04
"LOC132088932",4,0.04
"LOC132088933",4,0.04
"LOC132088934",4,0.04
"LOC132088935",4,0.04
"LOC132088936",4,0.04
"LOC132088937",4,0.04
"LOC132088938",4,0.04
"LOC132088939",4,0.04
"LOC132088940",4,0.04
"LOC132088941",4,0.04
"LOC132088942",4,0.04
"LOC132088943",4,0.04
"LOC132088945",4,0.04
"LOC132088946",4,0.04
"LOC132088947",4,0.04
"LOC132088948",4,0.04
"LOC132088950",4,0.04
"LOC132088951",4,0.04
"LOC132088952",4,0.04
"LOC132088953",4,0.04
"LOC132088955",4,0.04
"LOC132088956",4,0.04
"LOC132088957",4,0.04
"LOC132088958",4,0.04
"LOC132088959",4,0.04
"LOC132088960",4,0.04
"LOC132088961",4,0.04
"LOC132088962",4,0.04
"LOC132090691",4,0.04
"LOC132090692",4,0.04
"LOC132090693",4,0.04
"LOC132090694",4,0.04
"LOC132090695",4,0.04
"LOC132090696",4,0.04
"LOC132205955",4,0.04
"LRRC2",4,0.04
"LRRC3B-AS1",4,0.04
"LTF",4,0.04
"LZTFL1",4,0.04
"MIR3134",4,0.04
"MIR3135A",4,0.04
"MIR3714",4,0.04
"MIR4270",4,0.04
"MIR4442",4,0.04
"MIR466",4,0.04
"MIR4791",4,0.04
"MIR548AY",4,0.04
"MIR563",4,0.04
"MKRN2OS",4,0.04
"MYL3",4,0.04
"NBEAL2",4,0.04
"OSBPL10-AS1",4,0.04
"PLCL2-AS1",4,0.04
"PLCL2UT",4,0.04
"PRSS50",4,0.04
"PTH1R",4,0.04
"RARB-AS1",4,0.04
